95.26,
95.23
95.06
94.94
94.88
94.82
94.73
94.64
94.53
94.43
94.29
94.20
94.09
94.01
93.95
93.84
93.73
93.58
93.46
93.36
93.32
93.22
93.18
93.14
93.04
93.02
92.87
92.84
92.78
92.70
92.68
92.60
92.48
92.42
92.39
92.30
92.21
0.00
0.00
0.00
0.00
92.17
92.07
92.04
91.92
91.88
91.80
91.72
91.62
91.53
91.55
91.43
91.35
91.27
91.23
91.14
91.04
91.02
90.95
90.87
90.81
90.74
90.68
90.59
90.50
90.47
0.00
0.00
0.00
87.63
87.51
87.45
87.34
87.22
87.11
86.98
86.79
86.69
